Timestamp,I think that a podcast and media-based app like Lantern would deepen my understanding of the language I want to learn.,I would be interested in using a podcast and media-based app like Lantern to further my language learning.,Which methods of self-studying a new language do you prefer?,"After listening to this presentation, my perception of modern China has changed.","In a few words, please describe in what way it has/has not changed.",I want to learn more about Chinese culture!,"If you want to learn more about Chinese culture, what do you want to learn about?"
8/23/2024 9:50:15,4,5,"Listening to music, Watching TV shows/movies, Talking to native speakers",3,i have friends who have gone and they have told me lots about it,5,i want to learn more casual language such as slang that is used by chinese youth
8/23/2024 9:50:34,4,5,"Listening to music, Watching TV shows/movies, Talking to native speakers",4,I didnt realize thehy used a lot of technology ,5,Just everyday life and how it compares to ours in america
8/23/2024 9:50:47,5,5,Talking to native speakers,4,It makes me want to visit it!,5,"The food, and the way people live!"
8/23/2024 9:50:47,4,4,"Listening to music, Watching TV shows/movies",4,"I feel like I understand it more. It's modern but also keeps some of the traditional things, which I think is very fascinating.",5,"I want to learn about the art, the food, regions, etc."
8/23/2024 9:50:48,4,4,Talking to native speakers,4,It makes me see the difference between our countries,4,The different foods
8/23/2024 9:50:50,4,3,"Listening to music, Watching TV shows/movies, Talking to native speakers",4,"the beauty standards, the food, they're perspective on foreigners, and school days",5,origins on food and clothes.
8/23/2024 9:50:53,4,4,"Listening to music, Reading textbooks",5,It has changed because I saw how pretty everything is. I hope to keep learning and one day to go to China.,5,I want to learn what a full day is like there.
8/23/2024 9:50:54,4,5,"Watching TV shows/movies, Talking to native speakers",3,there was an lot of cool facts that I did not know and was very informational.,3,daily life and living w studies.
8/23/2024 9:51:04,3,4,"Listening to music, Watching TV shows/movies",4,I'm guessing the view on foreigners. because it seems they really enjoy our prensense.,5,slang of course
8/23/2024 9:51:08,2,3,Reading textbooks,4,I thought it would be more demanding and proper,4,style
8/23/2024 9:51:16,4,4,"Reading textbooks, Talking to native speakers",3,I have learned about the culture,4,The music they listen to
8/23/2024 9:52:03,4,4,"Listening to music, Watching TV shows/movies",4,Good,5,anything i guess
8/23/2024 9:52:21,4,3,"Listening to music, Talking to native speakers",5,I think i'm more motivated to learn and take a trip to China,5,The things they enjoy
8/23/2024 9:52:47,4,5,"Reading textbooks, Talking to native speakers",4,As she said you think ancient when you think of china so with her experience it shows otherwise.,5,Customs and different languages in different regions.
8/23/2024 9:52:49,5,5,"Listening to music, Watching TV shows/movies, Reading textbooks, Talking to native speakers",3,"I have been to China before so I knew most of the stuff Leanne talked about, but it was interesting to know more about the different cities I did not visit.",5,Pretty much anything avaliable 
8/23/2024 9:52:50,5,5,"Watching TV shows/movies, Talking to native speakers",4,It really shows how each province is different from the other.,4,Stories and history
8/23/2024 9:53:00,3,4,"Listening to music, Watching TV shows/movies, Talking to native speakers",3,I thought that china is not really  a welcoming  country ,5,"Food, collages  and schools "
8/23/2024 9:53:17,4,3,"Listening to music, Watching TV shows/movies, Reading textbooks",3,Seeing the shrines and still the traditional life I suspected that to be still in modern China. ,4,"About the provinces, and the different culture in them as well."
8/23/2024 9:53:19,4,3,"Listening to music, Watching TV shows/movies, Talking to native speakers",4,My family members are chinese and my momma and dad both vistied china so some of the things i already knew.,5,"History, cultural activities"
8/23/2024 9:53:20,4,3,"Listening to music, Watching TV shows/movies, Talking to native speakers",4,It has changed because it is always better to hear from someone who has lived in China.,5,I would want to learn about the major religions in China.
8/23/2024 9:53:20,4,4,"Listening to music, Watching TV shows/movies",4,I see how different the Culture can be depending on the region.,4,How Chinese culture makes their lives different from ours.
